TAN JIA XUAN,1998-07-14,S9834567D,K1234567A
LIM WEI JIE,1995-03-22,S9532145F,E2345678B
NG XIN YI,2001-11-09,T0136789G,K3456789C
MUHAMMAD DANIAL BIN RAHMAN,1993-05-17,S9345890H,E4567890D
SITI NUR AISYAH BTE ABDULLAH,1999-08-02,S9954321J,K5678901E
RAJ KUMAR S O KRISHNAN,1988-12-30,S8856782K,E6789012F
GOH ZHI HAO,2003-01-18,T0349012L,K7890123G
LEE YI TING,1997-09-25,S9745674M,E8901234H
ONG JUN WEI,1996-04-13,S9643215N,K9012345J
CHUA MEI LIN,2000-06-28,T0046789P,E1122334K
KOH JIA EN,1994-02-11,S9457890Q,K2233445L
SIM WEI LING,1992-10-07,S9234561R,E3344556M
AHMAD FIRDAUS BIN HAMZAH,1985-07-21,S8545672S,K4455667N
PRIYA D O NAIR,1990-03-03,S9056783T,E5566778P
QUEK YONG KAI,2002-05-14,T0245674U,K6677889Q
LOW YU XUAN,1998-12-19,S9843215V,E7788990R
CHONG HUI MIN,1991-01-06,S9134566W,K8899001S
FARAH HANANI BTE ISMAIL,1997-04-27,S9745677X,E9900112T
DEVAN S O MURTHY,1987-09-15,S8756788Y,K1357924U
ANG YI SHAN,2004-02-02,T0456789Z,E2468135V
